"Country","Operator","TADIG code","MCC/MNC","Tags","LTE Status Outbound","LTE Date Outbound","5G NSA Status Outbound","5G NSA Date Outbound"
"Netherlands","KPN B.V.","NLDPT","20408","TMHR EU regulated","Live","2015-05-27","Live","2022-05-12"
"Netherlands","Odido Netherlands B.V.","NLDPN","20416","TMHR EU regulated","Live","2015-08-31","Live","2022-04-14"
"Netherlands","Vodafone Netherlands","NLDLT","20404","TMHR EU regulated","Live","2021-05-26","N/A",
"Netherlands Antilles","Telcell N.V.","ANTTC","36251","HRVCN_HUB","Live","2020-08-04","N/A",
"Netherlands Antilles","UTS N.V.","ANTUT","36291","HRVCN_HUB","Live","2017-02-22","N/A",
"New Zealand","One NZ","NZLBS","53001",,"Live","2021-05-26","N/A",
"New Zealand","Spark New Zealand","NZLTM","53005",,"Live","2024-08-06","Live","2024-08-06"
"New Zealand","Two Degrees Networks Limited","NZLNH","53024",,"Live","2020-04-17","Live","2024-12-09"
"Nicaragua","EMPRESA NICARAGUENSE DE TELECOMUNICACIONES S.A.","NICEN","71021",,"Live","2025-08-08","N/A",
"Nicaragua","Tigo Nicaragua","NICMS","710300",,"Live","2025-04-30","N/A",
"Nigeria","Airtel Nigeria","NGAET","62120","HRVCN_HUB","Live","2024-01-08","N/A",
"Nigeria","Globacom Limited","NGAGM","62150","HRVCN_HUB","Live","2020-03-31","N/A",
"North Macedonia","A1 Makedonija DOOEL Skopje","MKDNO","29403",,"Live","2018-08-23","N/A",
"North Macedonia","Makedonski Telekom AD - Skopje","MKDMM","29401",,"Live","2018-02-12","Live","2023-07-17"
"Norway","Telenor Norway","NORTM","24201","TMHR EU regulated","Live","2015-04-30","Live","2023-05-30"
"Norway","Telia Norge AS","NORNC","24202","TMHR EU regulated","Live","2016-10-17","Live","2021-12-10"
"Oman","Omantel","OMNGT","42202",,"Live","2015-07-06","Live","2022-09-01"
"Oman","Ooredoo Oman","OMNNT","42203",,"Live","2017-06-19","Live","2025-01-21"
"Pakistan","ZONG","PAKPL","41004",,"Live","2019-11-21","N/A",
"Palau","Palau National Communications Corporation (PNCC)","PLWPC","55201","HRVCN_HUB","Live","2026-05-26","N/A",
"Panama","Cable & Wireless Panamá, S.A.","PANCW","71401","HRVCN_HUB","Live","2018-08-31","N/A",
"Panama","Tigo Panamá","PANMS","714020",,"Live","2016-09-23","N/A",
"Papua New Guinea","Telikom","PNGTM","53702","HRVCN_HUB","Live","2024-07-25","N/A",
"Paraguay","Núcleo S.A.","PRYNP","74405","HRVCN_HUB","Live","2023-11-24","N/A",
"Paraguay","Tigo Paraguay","PRYTC","74404","HRVCN_HUB","Live","2023-01-10","N/A",
"Peru","Claro Peru","PERTM","71610",,"Live","2019-03-29","Live","2023-09-13"
"Peru","Entel Peru","PERN3","71617","HRVCN_HUB","Live","2018-05-03","N/A",
"Peru","Integra Technologies Group","PERMO","71606",,"Live","2024-10-03","Live","2025-12-15"
"Philippines","Globe Telecom","PHLGT","51502",,"Live","2023-06-01","Live","2023-06-01"
"Philippines","Smart Philippines","PHLSR","51503","HRVCN_HUB","Live","2020-10-01","Live","2025-03-20"
"Poland","Orange Poland","POL03","26003","TMHR EU regulated","Live","2015-09-17","Live","2022-07-05"
"Poland","PLAY","POLP4","26006","TMHR EU regulated","Live","2016-07-15","Live","2022-06-06"
"Poland","Plus","POLKM","26001","TMHR EU regulated","Live","2017-10-19","Live","2022-09-01"
"Poland","T-Mobile Poland","POL02","26002","TMHR EU regulated","Live","2015-06-23","Live","2021-08-12"
