"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price","source"
"saily","Austria","AT","Austria","https://saily.com/esim-austria/","Standard","10","30","10.99","USD","","","2026-06-29","AUT","saily-AUT-Standard-10-30-10.99","Select 10 GB - 30 days for 10.99 USD.","","10.99","visible_text"
"saily","Austria","AT","Austria","https://saily.com/esim-austria/","Standard","20","30","15.99","USD","","","2026-06-29","AUT","saily-AUT-Standard-20-30-15.99","Select 20 GB - 30 days for 15.99 USD.","","15.99","visible_text"
"saily","Austria","AT","Austria","https://saily.com/esim-austria/","Unlimited","Unlimited","10","34.99","USD","","","2026-06-29","AUT","54944e2c-0457-467a-9f82-c2980964528b","Select Unlimited - 10 days for 34.99 USD.","","34.99","offer_schema"
"saily","Austria","AT","Austria","https://saily.com/esim-austria/","Unlimited","Unlimited","15","48.99","USD","","","2026-06-29","AUT","cbd4ed6b-4fd4-461e-8336-c77d22947317","Select Unlimited - 15 days for 48.99 USD.","","48.99","offer_schema"
"saily","Austria","AT","Austria","https://saily.com/esim-austria/","Unlimited","Unlimited","20","59.99","USD","","","2026-06-29","AUT","06234158-736c-47e8-a36b-f71b076e0720","Select Unlimited - 20 days for 59.99 USD.","","59.99","offer_schema"
"saily","Austria","AT","Austria","https://saily.com/esim-austria/","Unlimited","Unlimited","25","65.99","USD","","","2026-06-29","AUT","55195ead-cad7-4e0b-ae22-a79b8589ca77","Select Unlimited - 25 days for 65.99 USD.","","65.99","offer_schema"
"saily","Austria","AT","Austria","https://saily.com/esim-austria/","Unlimited","Unlimited","30","71.99","USD","","","2026-06-29","AUT","d1d748f4-250c-414d-85fe-8fbe6a5d5e88","Select Unlimited - 30 days for 71.99 USD.","","71.99","offer_schema"
"saily","Azerbaijan","AZ","Azerbaijan","https://saily.com/esim-azerbaijan/","Standard","1","7","5.99","USD","","","2026-06-29","AZE","saily-AZE-Standard-1-7-5.99","Select 1 GB - 7 days for 5.99 USD.","","5.99","visible_text"
"saily","Azerbaijan","AZ","Azerbaijan","https://saily.com/esim-azerbaijan/","Standard","3","30","13.99","USD","","","2026-06-29","AZE","saily-AZE-Standard-3-30-13.99","Select 3 GB - 30 days for 13.99 USD.","","13.99","visible_text"
"saily","Azerbaijan","AZ","Azerbaijan","https://saily.com/esim-azerbaijan/","Standard","5","30","22.99","USD","","","2026-06-29","AZE","saily-AZE-Standard-5-30-22.99","Select 5 GB - 30 days for 22.99 USD.","","22.99","visible_text"
