ISO3,Provider,Plan,Days,GB,ChangeType,ChangeReason,Price_old,Price_new,Currency_old,Currency_new,usd_price_old,usd_price_new,eur_price_old,eur_price_new,SpecialOffer_old,SpecialOffer_new
GBR,orange,Data-5,7,5,deleted,,10.99,,USD,,10.99,,,,,
GEO,orange,Data+Calls+SMS-10,30,10,deleted,,28.99,,USD,,28.99,,,,,
GEO,orange,Data+Calls+SMS-2,30,2,deleted,,14.99,,USD,,14.99,,,,,
GEO,orange,Data+Calls+SMS-20,30,20,deleted,,40.99,,USD,,40.99,,,,,
GEO,orange,Data+Calls+SMS-5,30,5,deleted,,22.99,,USD,,22.99,,,,,
GEO,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
GEO,orange,Data-10,7,10,deleted,,26.99,,USD,,26.99,,,,,
GEO,orange,Data-3,7,3,deleted,,10.99,,USD,,10.99,,,,,
GEO,orange,Data-5,7,5,deleted,,16.99,,USD,,16.99,,,,,
GGY,orange,Data+Calls+SMS-20,14,20,deleted,,23.99,,USD,,23.99,,,,,
GGY,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
GGY,orange,Data-4,7,4,deleted,,9.99,,USD,,9.99,,,,,
GHA,orange,Data+Calls+SMS-10,30,10,deleted,,46.99,,USD,,46.99,,,,,
GHA,orange,Data+Calls+SMS-2,30,2,deleted,,24.99,,USD,,24.99,,,,,
GHA,orange,Data+Calls+SMS-3,30,3,deleted,,34.99,,USD,,34.99,,,,,
GHA,orange,Data-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
GHA,orange,Data-10,7,10,deleted,,39.99,,USD,,39.99,,,,,
GHA,orange,Data-3,7,3,deleted,,17.99,,USD,,17.99,,,,,
GHA,orange,Data-5,7,5,deleted,,21.99,,USD,,21.99,,,,,
GLP,orange,Data+Calls+SMS-500,90,500,deleted,,202.99,,USD,,202.99,,,,,
GLP,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
GLP,orange,Data-10,7,10,deleted,,25.99,,USD,,25.99,,,,,
GLP,orange,Data-3,7,3,deleted,,10.99,,USD,,10.99,,,,,
GLP,orange,Data-5,7,5,deleted,,14.99,,USD,,14.99,,,,,
GRC,orange,Data+Calls+SMS-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
GRC,orange,Data+Calls+SMS-10,7,10,deleted,,19.99,,USD,,19.99,,,,,
